"report_catalog_index","report_title","report_subject_area","report_path","filter_index","group_path","nesting_level","join_operator","filter_source","expression_type","operator","field","filter_text","saved_filter_name","saved_filter_path","value_count","value_preview"
191,"UCSD Risk Management Report","Physical Items","/shared/University of California System 01UCS_NETWORK/Reports/Local Requests/Annual Statistic Reports/Annual Stats FY 2025-2026/Final stats reports (for July 1)/Risk Management/UCSD Risk Management Report",3,"1.3",2,"and","saved_reference","savedFilter",,,"Saved filter: Global stats physical filters","Global stats physical filters","/shared/University of California System 01UCS_NETWORK/Reports/Local Requests/Annual Statistic Reports/Annual Stats FY 2025-2026/Global stats physical filters",,
191,"UCSD Risk Management Report","Physical Items","/shared/University of California System 01UCS_NETWORK/Reports/Local Requests/Annual Statistic Reports/Annual Stats FY 2025-2026/Final stats reports (for July 1)/Risk Management/UCSD Risk Management Report",4,"1.4",2,"and","saved_reference","savedFilter",,,"Saved filter: UCSD Physical Filters","UCSD Physical Filters","/shared/University of California System 01UCS_NETWORK/Reports/Local Requests/Annual Statistic Reports/Annual Stats FY 2025-2026/UCSD Physical Filters",,
191,"UCSD Risk Management Report","Physical Items","/shared/University of California System 01UCS_NETWORK/Reports/Local Requests/Annual Statistic Reports/Annual Stats FY 2025-2026/Final stats reports (for July 1)/Risk Management/UCSD Risk Management Report",5,"1.5",2,"and","saved_reference","savedFilter",,,"Saved filter: Physical - UCSD SCA Exclusions","Physical - UCSD SCA Exclusions","/shared/University of California System 01UCS_NETWORK/Reports/Local Requests/Annual Statistic Reports/Annual Stats FY 2025-2026/Physical - UCSD SCA Exclusions",,
193,"UCSC Library Categorization Report","Physical Items","/shared/University of California System 01UCS_NETWORK/Reports/Local Requests/Annual Statistic Reports/Annual Stats FY 2025-2026/Preparation review reports/Physical preparation review reports/UCSC Library Categorization Report",1,"1.1",2,"and","inline","list","in","""Institution"".""Institution Name""","""Institution"".""Institution Name"" IN (6532, 6533, 4876)",,,3,"6532 | 6533 | 4876"
193,"UCSC Library Categorization Report","Physical Items","/shared/University of California System 01UCS_NETWORK/Reports/Local Requests/Annual Statistic Reports/Annual Stats FY 2025-2026/Preparation review reports/Physical preparation review reports/UCSC Library Categorization Report",2,"1.2",2,"and","inline","list","in","""Institution"".""Institution Name""","""Institution"".""Institution Name"" IN ('SLF-N', 'SLF-S', 'UCSC')",,,3,"SLF-N | SLF-S | UCSC"
193,"UCSC Library Categorization Report","Physical Items","/shared/University of California System 01UCS_NETWORK/Reports/Local Requests/Annual Statistic Reports/Annual Stats FY 2025-2026/Preparation review reports/Physical preparation review reports/UCSC Library Categorization Report",3,"1.3",2,"and","saved_reference","savedFilter",,,"Saved filter: Global stats physical filters","Global stats physical filters","/shared/University of California System 01UCS_NETWORK/Reports/Local Requests/Annual Statistic Reports/Annual Stats FY 2025-2026/Global stats physical filters",,
193,"UCSC Library Categorization Report","Physical Items","/shared/University of California System 01UCS_NETWORK/Reports/Local Requests/Annual Statistic Reports/Annual Stats FY 2025-2026/Preparation review reports/Physical preparation review reports/UCSC Library Categorization Report",4,"1.4",2,"and","saved_reference","savedFilter",,,"Saved filter: UCSC Physical Filters","UCSC Physical Filters","/shared/University of California System 01UCS_NETWORK/Reports/Local Requests/Annual Statistic Reports/Annual Stats FY 2025-2026/UCSC Physical Filters",,
193,"UCSC Library Categorization Report","Physical Items","/shared/University of California System 01UCS_NETWORK/Reports/Local Requests/Annual Statistic Reports/Annual Stats FY 2025-2026/Preparation review reports/Physical preparation review reports/UCSC Library Categorization Report",5,"1.5",2,"and","saved_reference","savedFilter",,,"Saved filter: UCSC SCA Exclusions","UCSC SCA Exclusions","/shared/University of California System 01UCS_NETWORK/Reports/Local Requests/Annual Statistic Reports/Annual Stats FY 2025-2026/UCSC SCA Exclusions",,
194,"UCSD Physical Collection Usage","Fulfillment","/shared/University of California System 01UCS_NETWORK/Reports/Local Requests/Annual Statistic Reports/Annual Stats FY 2025-2026/Final stats reports (for July 1)/Physical Collection Usage/UCSD Physical Collection Usage",1,"1.1",2,"and","inline","comparison","equal","""Institution"".""Institution Name""","""Institution"".""Institution Name"" = 6535",,,1,"6535"
194,"UCSD Physical Collection Usage","Fulfillment","/shared/University of California System 01UCS_NETWORK/Reports/Local Requests/Annual Statistic Reports/Annual Stats FY 2025-2026/Final stats reports (for July 1)/Physical Collection Usage/UCSD Physical Collection Usage",2,"1.2",2,"and","saved_reference","savedFilter",,,"Saved filter: Fulfillment - FY 2025-26 Loans","Fulfillment - FY 2025-26 Loans","/shared/University of California System 01UCS_NETWORK/Reports/Local Requests/Annual Statistic Reports/Annual Stats FY 2025-2026/Fulfillment - FY 2025-26 Loans",,
194,"UCSD Physical Collection Usage","Fulfillment","/shared/University of California System 01UCS_NETWORK/Reports/Local Requests/Annual Statistic Reports/Annual Stats FY 2025-2026/Final stats reports (for July 1)/Physical Collection Usage/UCSD Physical Collection Usage",3,"1.3",2,"and","inline","comparison","greater","""Loan"".""Loans (Not In House)""","""Loan"".""Loans (Not In House)"" > 0",,,1,"0"
196,"UCSC eResources Comparison Report","E-Inventory","/shared/University of California System 01UCS_NETWORK/Reports/Local Requests/Annual Statistic Reports/Annual Stats FY 2025-2026/Final stats reports (for July 1)/eResources Comparison/UCSC eResources Comparison Report",1,"1.1",2,"and","inline","list","in","""Institution"".""Institution Name""","""Institution"".""Institution Name"" IN (4876, 6531)",,,2,"4876 | 6531"
196,"UCSC eResources Comparison Report","E-Inventory","/shared/University of California System 01UCS_NETWORK/Reports/Local Requests/Annual Statistic Reports/Annual Stats FY 2025-2026/Final stats reports (for July 1)/eResources Comparison/UCSC eResources Comparison Report",2,"1.2",2,"and","inline","list","in","""Institution"".""Institution Name""","""Institution"".""Institution Name"" IN ('Managed by CDL', 'Managed by UCSC')",,,2,"Managed by CDL | Managed by UCSC"
197,"UCSC Electronic Holdings and Titles Report","E-Inventory","/shared/University of California System 01UCS_NETWORK/Reports/Local Requests/Annual Statistic Reports/Annual Stats FY 2025-2026/Final stats reports (for July 1)/Electronic/UCSC Electronic Holdings and Titles Report",1,"1.1",2,"and","inline","list","in","""Institution"".""Institution Name""","""Institution"".""Institution Name"" IN (4876, 6531)",,,2,"4876 | 6531"
197,"UCSC Electronic Holdings and Titles Report","E-Inventory","/shared/University of California System 01UCS_NETWORK/Reports/Local Requests/Annual Statistic Reports/Annual Stats FY 2025-2026/Final stats reports (for July 1)/Electronic/UCSC Electronic Holdings and Titles Report",2,"1.2",2,"and","inline","list","in","""Institution"".""Institution Name""","""Institution"".""Institution Name"" IN ('Managed by CDL', 'Managed by UCSC')",,,2,"Managed by CDL | Managed by UCSC"
198,"UCSC eResources Library Categorization Report","E-Inventory","/shared/University of California System 01UCS_NETWORK/Reports/Local Requests/Annual Statistic Reports/Annual Stats FY 2025-2026/Preparation review reports/Electronic preparation review reports/UCSC eResources Library Categorization Report",1,"1",1,,"inline","comparison","equal","""Institution"".""Institution Name""","""Institution"".""Institution Name"" = 4876",,,1,"4876"
199,"UCD Physical Holdings and Titles Report","Physical Items","/shared/University of California System 01UCS_NETWORK/Reports/Local Requests/Annual Statistic Reports/Annual Stats FY 2025-2026/Final stats reports (for July 1)/Physical/UCD Physical Holdings and Titles Report",1,"1.1",2,"and","inline","list","in","""Institution"".""Institution Name""","""Institution"".""Institution Name"" IN (6532, 3126, 6533)",,,3,"6532 | 3126 | 6533"
199,"UCD Physical Holdings and Titles Report","Physical Items","/shared/University of California System 01UCS_NETWORK/Reports/Local Requests/Annual Statistic Reports/Annual Stats FY 2025-2026/Final stats reports (for July 1)/Physical/UCD Physical Holdings and Titles Report",2,"1.2",2,"and","inline","list","in","""Institution"".""Institution Name""","""Institution"".""Institution Name"" IN ('SLF-N', 'SLF-S', 'UCD')",,,3,"SLF-N | SLF-S | UCD"
199,"UCD Physical Holdings and Titles Report","Physical Items","/shared/University of California System 01UCS_NETWORK/Reports/Local Requests/Annual Statistic Reports/Annual Stats FY 2025-2026/Final stats reports (for July 1)/Physical/UCD Physical Holdings and Titles Report",3,"1.3",2,"and","saved_reference","savedFilter",,,"Saved filter: Global stats physical filters","Global stats physical filters","/shared/University of California System 01UCS_NETWORK/Reports/Local Requests/Annual Statistic Reports/Annual Stats FY 2025-2026/Global stats physical filters",,
199,"UCD Physical Holdings and Titles Report","Physical Items","/shared/University of California System 01UCS_NETWORK/Reports/Local Requests/Annual Statistic Reports/Annual Stats FY 2025-2026/Final stats reports (for July 1)/Physical/UCD Physical Holdings and Titles Report",4,"1.4",2,"and","saved_reference","savedFilter",,,"Saved filter: UCD Physical Filters","UCD Physical Filters","/shared/University of California System 01UCS_NETWORK/Reports/Local Requests/Annual Statistic Reports/Annual Stats FY 2025-2026/UCD Physical Filters",,
201,"UCSD eResources Comparison Report","E-Inventory","/shared/University of California System 01UCS_NETWORK/Reports/Local Requests/Annual Statistic Reports/Annual Stats FY 2025-2026/Final stats reports (for July 1)/eResources Comparison/UCSD eResources Comparison Report",1,"1.1",2,"and","inline","list","in","""Institution"".""Institution Name""","""Institution"".""Institution Name"" IN (6535, 6531)",,,2,"6535 | 6531"
201,"UCSD eResources Comparison Report","E-Inventory","/shared/University of California System 01UCS_NETWORK/Reports/Local Requests/Annual Statistic Reports/Annual Stats FY 2025-2026/Final stats reports (for July 1)/eResources Comparison/UCSD eResources Comparison Report",2,"1.2",2,"and","inline","list","in","""Institution"".""Institution Name""","""Institution"".""Institution Name"" IN ('Managed by CDL', 'Managed by UCSD')",,,2,"Managed by CDL | Managed by UCSD"
202,"UCM Check-Out Type Categorization Report","Fulfillment","/shared/University of California System 01UCS_NETWORK/Reports/Local Requests/Annual Statistic Reports/Annual Stats FY 2025-2026/Preparation review reports/Fulfillment preparation review reports/UCM Check-Out Type Categorization Report",1,"1.1",2,"and","inline","comparison","equal","""Institution"".""Institution Name""","""Institution"".""Institution Name"" = 6534",,,1,"6534"
202,"UCM Check-Out Type Categorization Report","Fulfillment","/shared/University of California System 01UCS_NETWORK/Reports/Local Requests/Annual Statistic Reports/Annual Stats FY 2025-2026/Preparation review reports/Fulfillment preparation review reports/UCM Check-Out Type Categorization Report",2,"1.2",2,"and","saved_reference","savedFilter",,,"Saved filter: FY 2025-26 Loans","FY 2025-26 Loans","/shared/University of California System 01UCS_NETWORK/Reports/Local Requests/Annual Statistic Reports/Annual Stats FY 2025-2026/FY 2025-26 Loans",,
202,"UCM Check-Out Type Categorization Report","Fulfillment","/shared/University of California System 01UCS_NETWORK/Reports/Local Requests/Annual Statistic Reports/Annual Stats FY 2025-2026/Preparation review reports/Fulfillment preparation review reports/UCM Check-Out Type Categorization Report",3,"1.3",2,"and","inline","comparison","equal","""Loan Details"".""In House Loan Indicator""","""Loan Details"".""In House Loan Indicator"" = 'N'",,,1,"N"
204,"UCSD Library Categorization Report","Physical Items","/shared/University of California System 01UCS_NETWORK/Reports/Local Requests/Annual Statistic Reports/Annual Stats FY 2025-2026/Preparation review reports/Physical preparation review reports/UCSD Library Categorization Report",1,"1.1",2,"and","inline","list","in","""Institution"".""Institution Name""","""Institution"".""Institution Name"" IN (6535, 6532, 6533)",,,3,"6535 | 6532 | 6533"
204,"UCSD Library Categorization Report","Physical Items","/shared/University of California System 01UCS_NETWORK/Reports/Local Requests/Annual Statistic Reports/Annual Stats FY 2025-2026/Preparation review reports/Physical preparation review reports/UCSD Library Categorization Report",2,"1.2",2,"and","inline","list","in","""Institution"".""Institution Name""","""Institution"".""Institution Name"" IN ('SLF-N', 'SLF-S', 'UCSD')",,,3,"SLF-N | SLF-S | UCSD"
204,"UCSD Library Categorization Report","Physical Items","/shared/University of California System 01UCS_NETWORK/Reports/Local Requests/Annual Statistic Reports/Annual Stats FY 2025-2026/Preparation review reports/Physical preparation review reports/UCSD Library Categorization Report",3,"1.3",2,"and","saved_reference","savedFilter",,,"Saved filter: Global stats physical filters","Global stats physical filters","/shared/University of California System 01UCS_NETWORK/Reports/Local Requests/Annual Statistic Reports/Annual Stats FY 2025-2026/Global stats physical filters",,
204,"UCSD Library Categorization Report","Physical Items","/shared/University of California System 01UCS_NETWORK/Reports/Local Requests/Annual Statistic Reports/Annual Stats FY 2025-2026/Preparation review reports/Physical preparation review reports/UCSD Library Categorization Report",4,"1.4",2,"and","saved_reference","savedFilter",,,"Saved filter: UCSD Physical Filters","UCSD Physical Filters","/shared/University of California System 01UCS_NETWORK/Reports/Local Requests/Annual Statistic Reports/Annual Stats FY 2025-2026/UCSD Physical Filters",,
205,"UCSF Risk Management Report","Physical Items","/shared/University of California System 01UCS_NETWORK/Reports/Local Requests/Annual Statistic Reports/Annual Stats FY 2025-2026/Final stats reports (for July 1)/Risk Management/UCSF Risk Management Report",1,"1.1",2,"and","inline","list","in","""Institution"".""Institution Name""","""Institution"".""Institution Name"" IN (6532, 6533, 6536)",,,3,"6532 | 6533 | 6536"
205,"UCSF Risk Management Report","Physical Items","/shared/University of California System 01UCS_NETWORK/Reports/Local Requests/Annual Statistic Reports/Annual Stats FY 2025-2026/Final stats reports (for July 1)/Risk Management/UCSF Risk Management Report",2,"1.2",2,"and","inline","list","in","""Institution"".""Institution Name""","""Institution"".""Institution Name"" IN ('SLF-N', 'SLF-S', 'UCSF')",,,3,"SLF-N | SLF-S | UCSF"
205,"UCSF Risk Management Report","Physical Items","/shared/University of California System 01UCS_NETWORK/Reports/Local Requests/Annual Statistic Reports/Annual Stats FY 2025-2026/Final stats reports (for July 1)/Risk Management/UCSF Risk Management Report",3,"1.3",2,"and","saved_reference","savedFilter",,,"Saved filter: Global stats physical filters","Global stats physical filters","/shared/University of California System 01UCS_NETWORK/Reports/Local Requests/Annual Statistic Reports/Annual Stats FY 2025-2026/Global stats physical filters",,
205,"UCSF Risk Management Report","Physical Items","/shared/University of California System 01UCS_NETWORK/Reports/Local Requests/Annual Statistic Reports/Annual Stats FY 2025-2026/Final stats reports (for July 1)/Risk Management/UCSF Risk Management Report",4,"1.4",2,"and","saved_reference","savedFilter",,,"Saved filter: UCSF Physical Filters","UCSF Physical Filters","/shared/University of California System 01UCS_NETWORK/Reports/Local Requests/Annual Statistic Reports/Annual Stats FY 2025-2026/UCSF Physical Filters",,
206,"UCSD eResources Library Categorization Report","E-Inventory","/shared/University of California System 01UCS_NETWORK/Reports/Local Requests/Annual Statistic Reports/Annual Stats FY 2025-2026/Preparation review reports/Electronic preparation review reports/UCSD eResources Library Categorization Report",1,"1",1,,"inline","comparison","equal","""Institution"".""Institution Name""","""Institution"".""Institution Name"" = 6535",,,1,"6535"
207,"UCSD Electronic Holdings and Titles Report","E-Inventory","/shared/University of California System 01UCS_NETWORK/Reports/Local Requests/Annual Statistic Reports/Annual Stats FY 2025-2026/Final stats reports (for July 1)/Electronic/UCSD Electronic Holdings and Titles Report",1,"1.1",2,"and","inline","list","in","""Institution"".""Institution Name""","""Institution"".""Institution Name"" IN (6535, 6531)",,,2,"6535 | 6531"
207,"UCSD Electronic Holdings and Titles Report","E-Inventory","/shared/University of California System 01UCS_NETWORK/Reports/Local Requests/Annual Statistic Reports/Annual Stats FY 2025-2026/Final stats reports (for July 1)/Electronic/UCSD Electronic Holdings and Titles Report",2,"1.2",2,"and","inline","list","in","""Institution"".""Institution Name""","""Institution"".""Institution Name"" IN ('Managed by CDL', 'Managed by UCSD')",,,2,"Managed by CDL | Managed by UCSD"
208,"UCSF Physical Collection Usage","Fulfillment","/shared/University of California System 01UCS_NETWORK/Reports/Local Requests/Annual Statistic Reports/Annual Stats FY 2025-2026/Final stats reports (for July 1)/Physical Collection Usage/UCSF Physical Collection Usage",1,"1.1",2,"and","inline","comparison","equal","""Institution"".""Institution Name""","""Institution"".""Institution Name"" = 6536",,,1,"6536"
208,"UCSF Physical Collection Usage","Fulfillment","/shared/University of California System 01UCS_NETWORK/Reports/Local Requests/Annual Statistic Reports/Annual Stats FY 2025-2026/Final stats reports (for July 1)/Physical Collection Usage/UCSF Physical Collection Usage",2,"1.2",2,"and","saved_reference","savedFilter",,,"Saved filter: Fulfillment - FY 2025-26 Loans","Fulfillment - FY 2025-26 Loans","/shared/University of California System 01UCS_NETWORK/Reports/Local Requests/Annual Statistic Reports/Annual Stats FY 2025-2026/Fulfillment - FY 2025-26 Loans",,
208,"UCSF Physical Collection Usage","Fulfillment","/shared/University of California System 01UCS_NETWORK/Reports/Local Requests/Annual Statistic Reports/Annual Stats FY 2025-2026/Final stats reports (for July 1)/Physical Collection Usage/UCSF Physical Collection Usage",3,"1.3",2,"and","inline","comparison","greater","""Loan"".""Loans (Not In House)""","""Loan"".""Loans (Not In House)"" > 0",,,1,"0"
211,"UCSF eResources Library Categorization Report","E-Inventory","/shared/University of California System 01UCS_NETWORK/Reports/Local Requests/Annual Statistic Reports/Annual Stats FY 2025-2026/Preparation review reports/Electronic preparation review reports/UCSF eResources Library Categorization Report",1,"1",1,,"inline","comparison","equal","""Institution"".""Institution Name""","""Institution"".""Institution Name"" = 6536",,,1,"6536"
212,"UCM User Group categorization report","Fulfillment","/shared/University of California System 01UCS_NETWORK/Reports/Local Requests/Annual Statistic Reports/Annual Stats FY 2025-2026/Preparation review reports/Fulfillment preparation review reports/UCM User Group categorization report",1,"1",1,,"inline","comparison","equal","""Institution"".""Institution Name""","""Institution"".""Institution Name"" = 6534",,,1,"6534"
213,"UCSF Library Categorization Report","Physical Items","/shared/University of California System 01UCS_NETWORK/Reports/Local Requests/Annual Statistic Reports/Annual Stats FY 2025-2026/Preparation review reports/Physical preparation review reports/UCSF Library Categorization Report",1,"1.1",2,"and","inline","list","in","""Institution"".""Institution Name""","""Institution"".""Institution Name"" IN (6532, 6533, 6536)",,,3,"6532 | 6533 | 6536"
213,"UCSF Library Categorization Report","Physical Items","/shared/University of California System 01UCS_NETWORK/Reports/Local Requests/Annual Statistic Reports/Annual Stats FY 2025-2026/Preparation review reports/Physical preparation review reports/UCSF Library Categorization Report",2,"1.2",2,"and","inline","list","in","""Institution"".""Institution Name""","""Institution"".""Institution Name"" IN ('SLF-N', 'SLF-S', 'UCSF')",,,3,"SLF-N | SLF-S | UCSF"
213,"UCSF Library Categorization Report","Physical Items","/shared/University of California System 01UCS_NETWORK/Reports/Local Requests/Annual Statistic Reports/Annual Stats FY 2025-2026/Preparation review reports/Physical preparation review reports/UCSF Library Categorization Report",3,"1.3",2,"and","saved_reference","savedFilter",,,"Saved filter: Global stats physical filters","Global stats physical filters","/shared/University of California System 01UCS_NETWORK/Reports/Local Requests/Annual Statistic Reports/Annual Stats FY 2025-2026/Global stats physical filters",,
213,"UCSF Library Categorization Report","Physical Items","/shared/University of California System 01UCS_NETWORK/Reports/Local Requests/Annual Statistic Reports/Annual Stats FY 2025-2026/Preparation review reports/Physical preparation review reports/UCSF Library Categorization Report",4,"1.4",2,"and","saved_reference","savedFilter",,,"Saved filter: UCSF Physical Filters","UCSF Physical Filters","/shared/University of California System 01UCS_NETWORK/Reports/Local Requests/Annual Statistic Reports/Annual Stats FY 2025-2026/UCSF Physical Filters",,
214,"UCSF Electronic Holdings and Titles Report","E-Inventory","/shared/University of California System 01UCS_NETWORK/Reports/Local Requests/Annual Statistic Reports/Annual Stats FY 2025-2026/Final stats reports (for July 1)/Electronic/UCSF Electronic Holdings and Titles Report",1,"1.1",2,"and","inline","list","in","""Institution"".""Institution Name""","""Institution"".""Institution Name"" IN (6536, 6531)",,,2,"6536 | 6531"
214,"UCSF Electronic Holdings and Titles Report","E-Inventory","/shared/University of California System 01UCS_NETWORK/Reports/Local Requests/Annual Statistic Reports/Annual Stats FY 2025-2026/Final stats reports (for July 1)/Electronic/UCSF Electronic Holdings and Titles Report",2,"1.2",2,"and","inline","list","in","""Institution"".""Institution Name""","""Institution"".""Institution Name"" IN ('Managed by CDL', 'Managed by UCSF')",,,2,"Managed by CDL | Managed by UCSF"
215,"UCSF eResources Comparison Report","E-Inventory","/shared/University of California System 01UCS_NETWORK/Reports/Local Requests/Annual Statistic Reports/Annual Stats FY 2025-2026/Final stats reports (for July 1)/eResources Comparison/UCSF eResources Comparison Report",1,"1.1",2,"and","inline","list","in","""Institution"".""Institution Name""","""Institution"".""Institution Name"" IN (6536, 6531)",,,2,"6536 | 6531"
215,"UCSF eResources Comparison Report","E-Inventory","/shared/University of California System 01UCS_NETWORK/Reports/Local Requests/Annual Statistic Reports/Annual Stats FY 2025-2026/Final stats reports (for July 1)/eResources Comparison/UCSF eResources Comparison Report",2,"1.2",2,"and","inline","list","in","""Institution"".""Institution Name""","""Institution"".""Institution Name"" IN ('Managed by CDL', 'Managed by UCSF')",,,2,"Managed by CDL | Managed by UCSF"
216,"UCI Physical Holdings and Titles Report","Physical Items","/shared/University of California System 01UCS_NETWORK/Reports/Local Requests/Annual Statistic Reports/Annual Stats FY 2025-2026/Final stats reports (for July 1)/Physical/UCI Physical Holdings and Titles Report",1,"1.1",2,"and","inline","list","in","""Institution"".""Institution Name""","""Institution"".""Institution Name"" IN (6532, 4701, 6533)",,,3,"6532 | 4701 | 6533"
216,"UCI Physical Holdings and Titles Report","Physical Items","/shared/University of California System 01UCS_NETWORK/Reports/Local Requests/Annual Statistic Reports/Annual Stats FY 2025-2026/Final stats reports (for July 1)/Physical/UCI Physical Holdings and Titles Report",2,"1.2",2,"and","inline","list","in","""Institution"".""Institution Name""","""Institution"".""Institution Name"" IN ('SLF-N', 'SLF-S', 'UCI')",,,3,"SLF-N | SLF-S | UCI"
216,"UCI Physical Holdings and Titles Report","Physical Items","/shared/University of California System 01UCS_NETWORK/Reports/Local Requests/Annual Statistic Reports/Annual Stats FY 2025-2026/Final stats reports (for July 1)/Physical/UCI Physical Holdings and Titles Report",3,"1.3",2,"and","saved_reference","savedFilter",,,"Saved filter: Global stats physical filters","Global stats physical filters","/shared/University of California System 01UCS_NETWORK/Reports/Local Requests/Annual Statistic Reports/Annual Stats FY 2025-2026/Global stats physical filters",,
216,"UCI Physical Holdings and Titles Report","Physical Items","/shared/University of California System 01UCS_NETWORK/Reports/Local Requests/Annual Statistic Reports/Annual Stats FY 2025-2026/Final stats reports (for July 1)/Physical/UCI Physical Holdings and Titles Report",4,"1.4",2,"and","saved_reference","savedFilter",,,"Saved filter: UCI Physical Filters","UCI Physical Filters","/shared/University of California System 01UCS_NETWORK/Reports/Local Requests/Annual Statistic Reports/Annual Stats FY 2025-2026/UCI Physical Filters",,
216,"UCI Physical Holdings and Titles Report","Physical Items","/shared/University of California System 01UCS_NETWORK/Reports/Local Requests/Annual Statistic Reports/Annual Stats FY 2025-2026/Final stats reports (for July 1)/Physical/UCI Physical Holdings and Titles Report",5,"1.5",2,"and","saved_reference","savedFilter",,,"Saved filter: UCI SCA Exclusions","UCI SCA Exclusions","/shared/University of California System 01UCS_NETWORK/Reports/Local Requests/Annual Statistic Reports/Annual Stats FY 2025-2026/UCI SCA Exclusions",,
219,"UCI Physical Holdings and Titles Report - all data with all exclusions noted","Physical Items","/shared/University of California System 01UCS_NETWORK/Reports/Local Requests/Annual Statistic Reports/Annual Stats FY 2025-2026/Final stats reports (for July 1)/Physical/UCI Physical Holdings and Titles Report - all data with all exclusions noted",1,"1",1,,"inline","comparison","equal","""Institution"".""Institution Name""","""Institution"".""Institution Name"" = 4701",,,1,"4701"
220,"UCR Check-Out Type Categorization Report","Fulfillment","/shared/University of California System 01UCS_NETWORK/Reports/Local Requests/Annual Statistic Reports/Annual Stats FY 2025-2026/Preparation review reports/Fulfillment preparation review reports/UCR Check-Out Type Categorization Report",1,"1.1",2,"and","inline","comparison","equal","""Institution"".""Institution Name""","""Institution"".""Institution Name"" = 4706",,,1,"4706"
220,"UCR Check-Out Type Categorization Report","Fulfillment","/shared/University of California System 01UCS_NETWORK/Reports/Local Requests/Annual Statistic Reports/Annual Stats FY 2025-2026/Preparation review reports/Fulfillment preparation review reports/UCR Check-Out Type Categorization Report",2,"1.2",2,"and","saved_reference","savedFilter",,,"Saved filter: FY 2025-26 Loans","FY 2025-26 Loans","/shared/University of California System 01UCS_NETWORK/Reports/Local Requests/Annual Statistic Reports/Annual Stats FY 2025-2026/FY 2025-26 Loans",,
220,"UCR Check-Out Type Categorization Report","Fulfillment","/shared/University of California System 01UCS_NETWORK/Reports/Local Requests/Annual Statistic Reports/Annual Stats FY 2025-2026/Preparation review reports/Fulfillment preparation review reports/UCR Check-Out Type Categorization Report",3,"1.3",2,"and","inline","comparison","equal","""Loan Details"".""In House Loan Indicator""","""Loan Details"".""In House Loan Indicator"" = 'N'",,,1,"N"
221,"UCR User Group categorization report","Fulfillment","/shared/University of California System 01UCS_NETWORK/Reports/Local Requests/Annual Statistic Reports/Annual Stats FY 2025-2026/Preparation review reports/Fulfillment preparation review reports/UCR User Group categorization report",1,"1",1,,"inline","comparison","equal","""Institution"".""Institution Name""","""Institution"".""Institution Name"" = 4706",,,1,"4706"
223,"UCLA Physical Holdings and Titles Report","Physical Items","/shared/University of California System 01UCS_NETWORK/Reports/Local Requests/Annual Statistic Reports/Annual Stats FY 2025-2026/Final stats reports (for July 1)/Physical/UCLA Physical Holdings and Titles Report",1,"1.1",2,"and","inline","list","in","""Institution"".""Institution Name""","""Institution"".""Institution Name"" IN (6532, 6533)",,,2,"6532 | 6533"
223,"UCLA Physical Holdings and Titles Report","Physical Items","/shared/University of California System 01UCS_NETWORK/Reports/Local Requests/Annual Statistic Reports/Annual Stats FY 2025-2026/Final stats reports (for July 1)/Physical/UCLA Physical Holdings and Titles Report",2,"1.2",2,"and","saved_reference","savedFilter",,,"Saved filter: Global stats physical filters","Global stats physical filters","/shared/University of California System 01UCS_NETWORK/Reports/Local Requests/Annual Statistic Reports/Annual Stats FY 2025-2026/Global stats physical filters",,
223,"UCLA Physical Holdings and Titles Report","Physical Items","/shared/University of California System 01UCS_NETWORK/Reports/Local Requests/Annual Statistic Reports/Annual Stats FY 2025-2026/Final stats reports (for July 1)/Physical/UCLA Physical Holdings and Titles Report",3,"1.3",2,"and","saved_reference","savedFilter",,,"Saved filter: UCLA Physical Filters","UCLA Physical Filters","/shared/University of California System 01UCS_NETWORK/Reports/Local Requests/Annual Statistic Reports/Annual Stats FY 2025-2026/UCLA Physical Filters",,
223,"UCLA Physical Holdings and Titles Report","Physical Items","/shared/University of California System 01UCS_NETWORK/Reports/Local Requests/Annual Statistic Reports/Annual Stats FY 2025-2026/Final stats reports (for July 1)/Physical/UCLA Physical Holdings and Titles Report",4,"1.4",2,"and","saved_reference","savedFilter",,,"Saved filter: UCLA SCA Exclusions","UCLA SCA Exclusions","/shared/University of California System 01UCS_NETWORK/Reports/Local Requests/Annual Statistic Reports/Annual Stats FY 2025-2026/UCLA SCA Exclusions",,
223,"UCLA Physical Holdings and Titles Report","Physical Items","/shared/University of California System 01UCS_NETWORK/Reports/Local Requests/Annual Statistic Reports/Annual Stats FY 2025-2026/Final stats reports (for July 1)/Physical/UCLA Physical Holdings and Titles Report",5,"1.5",2,"and","inline","list","in","""Institution"".""Institution Name""","""Institution"".""Institution Name"" IN ('SLF-N', 'SLF-S', 'UCLA')",,,3,"SLF-N | SLF-S | UCLA"
225,"UCM Physical Holdings and Titles Report","Physical Items","/shared/University of California System 01UCS_NETWORK/Reports/Local Requests/Annual Statistic Reports/Annual Stats FY 2025-2026/Final stats reports (for July 1)/Physical/UCM Physical Holdings and Titles Report",1,"1.1",2,"and","inline","list","in","""Institution"".""Institution Name""","""Institution"".""Institution Name"" IN (6532, 6533, 6534)",,,3,"6532 | 6533 | 6534"
225,"UCM Physical Holdings and Titles Report","Physical Items","/shared/University of California System 01UCS_NETWORK/Reports/Local Requests/Annual Statistic Reports/Annual Stats FY 2025-2026/Final stats reports (for July 1)/Physical/UCM Physical Holdings and Titles Report",2,"1.2",2,"and","inline","list","in","""Institution"".""Institution Name""","""Institution"".""Institution Name"" IN ('SLF-S', 'UCM')",,,2,"SLF-S | UCM"
