"rule_id","rule_type","source_type","record_scope","rule_name","rule_index","criterion_text","review_label","explanation","criterion_text_category","join_operator","value_count","report_catalog_index","report_title","report_path","report_filter_index","definition_catalog_index","definition_name","definition_path"
"RF124-R1","Filter","inline","report_inline","UCLA eResources Comparison Report",1,"""Institution"".""Institution Name"" IN (6533, 6531)","","",,"and",2,124,"UCLA eResources Comparison Report","/shared/University of California System 01UCS_NETWORK/Reports/Local Requests/Annual Statistic Reports/Annual Stats FY 2025-2026/Final stats reports (for July 1)/eResources Comparison/UCLA eResources Comparison Report",1,,,
"RF124-R2","Filter","inline","report_inline","UCLA eResources Comparison Report",2,"""Institution"".""Institution Name"" IN ('Managed by CDL', 'Managed by UCLA')","","",,"and",2,124,"UCLA eResources Comparison Report","/shared/University of California System 01UCS_NETWORK/Reports/Local Requests/Annual Statistic Reports/Annual Stats FY 2025-2026/Final stats reports (for July 1)/eResources Comparison/UCLA eResources Comparison Report",2,,,
"RF125-R1","Filter","inline","report_inline","UCM Risk Management Report",1,"""Institution"".""Institution Name"" IN (6532, 6533, 6534)","","",,"and",3,125,"UCM Risk Management Report","/shared/University of California System 01UCS_NETWORK/Reports/Local Requests/Annual Statistic Reports/Annual Stats FY 2025-2026/Final stats reports (for July 1)/Risk Management/UCM Risk Management Report",1,,,
"RF125-R2","Filter","inline","report_inline","UCM Risk Management Report",2,"""Institution"".""Institution Name"" IN ('SLF-S', 'UCM')","","",,"and",2,125,"UCM Risk Management Report","/shared/University of California System 01UCS_NETWORK/Reports/Local Requests/Annual Statistic Reports/Annual Stats FY 2025-2026/Final stats reports (for July 1)/Risk Management/UCM Risk Management Report",2,,,
"RF130-R1","Filter","inline","report_inline","UCM Physical Collection Usage",1,"""Institution"".""Institution Name"" = 6534","","",,"and",1,130,"UCM Physical Collection Usage","/shared/University of California System 01UCS_NETWORK/Reports/Local Requests/Annual Statistic Reports/Annual Stats FY 2025-2026/Final stats reports (for July 1)/Physical Collection Usage/UCM Physical Collection Usage",1,,,
"RF130-R3","Filter","inline","report_inline","UCM Physical Collection Usage",3,"""Loan"".""Loans (Not In House)"" > 0","","",,"and",1,130,"UCM Physical Collection Usage","/shared/University of California System 01UCS_NETWORK/Reports/Local Requests/Annual Statistic Reports/Annual Stats FY 2025-2026/Final stats reports (for July 1)/Physical Collection Usage/UCM Physical Collection Usage",3,,,
"RF142-R1","Filter","inline","report_inline","SLF-S Added Physical Holdings and Titles Report part 1",1,"""Institution"".""Institution Name"" = 6533","","",,"and",1,142,"SLF-S Added Physical Holdings and Titles Report part 1","/shared/University of California System 01UCS_NETWORK/Reports/Local Requests/Annual Statistic Reports/Annual Stats FY 2025-2026/Final stats reports (for July 1)/Physical/SLF-S Added Physical Holdings and Titles Report part 1",1,,,
"RF142-R2","Filter","inline","report_inline","SLF-S Added Physical Holdings and Titles Report part 1",2,"""Location"".""Library Code"" IN ('NRLF', 'SRLF')","","",,"and",2,142,"SLF-S Added Physical Holdings and Titles Report part 1","/shared/University of California System 01UCS_NETWORK/Reports/Local Requests/Annual Statistic Reports/Annual Stats FY 2025-2026/Final stats reports (for July 1)/Physical/SLF-S Added Physical Holdings and Titles Report part 1",2,,,
"RF142-R5","Filter","inline","report_inline","SLF-S Added Physical Holdings and Titles Report part 1",5,"""Physical Item Details"".""Barcode"" IN ('A0000020156', 'A0000020164', 'A0000021477', 'A0000031344', 'A0000038950', 'A0000043620', 'A0000045625', 'A0000050088', 'A0000076042', 'A0000094227', … (+9989 more))","","",,"or",9999,142,"SLF-S Added Physical Holdings and Titles Report part 1","/shared/University of California System 01UCS_NETWORK/Reports/Local Requests/Annual Statistic Reports/Annual Stats FY 2025-2026/Final stats reports (for July 1)/Physical/SLF-S Added Physical Holdings and Titles Report part 1",5,,,
"RF142-R6","Filter","inline","report_inline","SLF-S Added Physical Holdings and Titles Report part 1",6,"""Physical Item Details"".""Barcode"" IN ('A0013504139', 'A0013504154', 'A0013510979', 'A0013511241', 'A0013512744', 'A0013513155', 'A0013513163', 'A0013513254', 'A0013514146', 'A0013514542', … (+9989 more))","","",,"or",9999,142,"SLF-S Added Physical Holdings and Titles Report part 1","/shared/University of California System 01UCS_NETWORK/Reports/Local Requests/Annual Statistic Reports/Annual Stats FY 2025-2026/Final stats reports (for July 1)/Physical/SLF-S Added Physical Holdings and Titles Report part 1",6,,,
