"rule_name","criterion_text","review_label","explanation","criterion_text_category","rule_id","rule_type","source_workbook","join_operator","value_count"
"Physical - UCI Physical Filters","NOT(DESCRIPTOR_IDOF(""Physical Items"".""Institution"".""Institution Name"") = 4701 AND ""Physical Item Details"".""Statistics Note 2"" LIKE '%rlf-%')","","",,"F8-C98","Filter","Filter Review","AND",0
"Physical - UCI Physical Filters","NOT(DESCRIPTOR_IDOF(""Physical Items"".""Institution"".""Institution Name"") = 4701 AND ""Physical Item Details"".""Statistics Note 2"" LIKE '%sp-%')","","",,"F8-C99","Filter","Filter Review","AND",0
"Physical - UCI Physical Filters","NOT(DESCRIPTOR_IDOF(""Physical Items"".""Institution"".""Institution Name"") = 4701 AND ""Physical Item Details"".""Statistics Note 2"" LIKE '%wd%')","","",,"F8-C100","Filter","Filter Review","AND",0
"Physical - UCI Physical Filters","NOT(DESCRIPTOR_IDOF(""Physical Items"".""Institution"".""Institution Name"") = 4701 AND ""Physical Item Details"".""Statistics Note 2"" LIKE '%ithd%')","","",,"F8-C101","Filter","Filter Review","AND",0
"Physical - UCI SCA Exclusions","""Bibliographic Details"".""Uniform Resource Identifier"" IS NULL","","",,"F9-C102","Filter","Filter Review","OR",0
"Physical - UCI SCA Exclusions","""Bibliographic Details"".""Uniform Resource Identifier"" IS NOT NULL","","",,"F9-C103","Filter","Filter Review","AND",0
"Physical - UCI SCA Exclusions","NOT(DESCRIPTOR_IDOF(""Physical Items"".""Institution"".""Institution Name"") = 4701 AND ""Location"".""Location Code"" IN ('gocrh', 'gseaa', 'spcol') AND (""Bibliographic Details"".""Uniform Resource Identifier"" LIKE '%findaid%'))","","",,"F9-C104","Filter","Filter Review","AND",0
"Physical - UCI SCA Exclusions","NOT(DESCRIPTOR_IDOF(""Physical Items"".""Institution"".""Institution Name"") = 4701 AND ""Location"".""Location Code"" IN ('gocrh', 'gseaa', 'spcol') AND (""Bibliographic Details"".""Uniform Resource Identifier"" LIKE '%oac.cdlib%'))","","",,"F9-C105","Filter","Filter Review","AND",0
"Physical - UCLA Physical Filters","""Location"".""Location Name"" <> 'Problem location from Migration'","","",,"F10-C106","Filter","Filter Review","AND",0
"Physical - UCLA Physical Filters","""Library Unit"".""Library Code"" NOT IN ('CLICC', 'CLICC_LOCKER', 'CLEANUP')","","",,"F10-C107","Filter","Filter Review","AND",3
"Physical - UCLA Physical Filters","NOT(DESCRIPTOR_IDOF(""Physical Items"".""Institution"".""Institution Name"") = 6533 AND ""Physical Item Details"".""Item Policy"" LIKE '%CLICC%')","","",,"F10-C108","Filter","Filter Review","AND",0
"Physical - UCLA Physical Filters","NOT(DESCRIPTOR_IDOF(""Physical Items"".""Institution"".""Institution Name"") = 6533 AND ""Physical Item Details"".""Item Policy"" LIKE '%hrome%ook%')","","",,"F10-C109","Filter","Filter Review","AND",0
"Physical - UCLA SCA Exclusions","NOT(DESCRIPTOR_IDOF(""Physical Items"".""Institution"".""Institution Name"") = 6533 AND ""Bibliographic Details"".""Material Type"" = 'Mixed material')","","",,"F11-C110","Filter","Filter Review","",0
"Physical - UCR Physical Filters","""Location"".""Location Code"" <> 'srlf'","","",,"F12-C111","Filter","Filter Review","AND",0
"Physical - UCR Physical Filters","""Location"".""Location Code"" <> 'xxx'","","",,"F12-C112","Filter","Filter Review","AND",0
"Physical - UCR Physical Filters","""Location"".""Location Name"" NOT IN ('zzCleanmxus', 'zzCleanedr', 'zzCleangf', 'zzCleango', 'zzCleangous', 'zzCleangpin', 'zzCleanr', 'zzCleanrccd', 'zzCleanrcp', 'zzCleanrroom', 'zzCleans', 'zzCleansccd', 'zzCleanscirs', 'zzCleansroom', 'zzCleanv', 'zzCleanvcas', 'zzCleanvcirc', 'zzDelete', 'Problem location from Migration')","","",,"F12-C113","Filter","Filter Review","AND",19
"Physical - UCR SCA exclusions","NOT(DESCRIPTOR_IDOF(""Physical Items"".""Institution"".""Institution Name"") = 4706 AND ""Location"".""Location Name"" IN ('Southern Regional Library Facility Special Collections & University Archives', 'Special Collections', 'Special Collections Archives', 'Special Collections Artists Books', 'Special Collections Artists Books Flat', 'Special Collections Artists Books Oversize', 'Special Collections Artists Books Tiny', 'Special Collections Artists Books Vault', 'Special Collections CD', 'Special Collections Computer File', 'Special Collections Costo', 'Special Collections Costo Oversize', 'Special Collections Costo Oversize V', 'Special Collections Costo Vault', 'Special Collections Flat', 'Special Collections Flat V', 'Special Collections Leaves Flat Vault', 'Special Collections Leaves Oversize Vault', 'Special Collections Leaves Tiny Vault', 'Special Collections Leaves Vault', 'Special Collections Manuscripts', 'Special Collections Map Case', 'Special Collections Map Rivera', 'Special Collections Oversize', 'Special Collections Oversize Vault', 'Special Collections Pamphlets', 'Special Collections Photo', 'Special Collections Photo Oversize', 'Special Collections Reserve', 'Special Collections Staff Reference', 'Special Collections Thesis', 'Special Collections Tiny', 'Special Collections Tiny Vault', 'Special Collections Traven', 'Special Collections Traven Oversize', 'Special Collections Traven Vault', 'Special Collections Vault', 'Special Collections Video Tape') AND ""Physical Item Details"".""Material Type"" = 'Archival Material')","","",,"F13-C114","Filter","Filter Review","",0
"Physical - UCSB Physical filters","""Location"".""Location Code"" <> 'srlf'","","",,"F14-C115","Filter","Filter Review","",0
"Physical - UCSC Physical Filters","""Location"".""Location Code"" NOT IN ('srlf', 'zdelete', 'zdelete15', 'SRLF', 'spnr')","","",,"F15-C116","Filter","Filter Review","AND",5
"Physical - UCSC Physical Filters","""Location"".""Location Name"" <> 'zdelete'","","",,"F15-C117","Filter","Filter Review","AND",0
"Physical - UCSC SCA Exclusions","NOT(""Location"".""Location Code"" IN ('spc', 'spann', 'spanv', 'sprice', 'spred', 'spwhi', 'spflm', 'spnr', 'spovr', 'spovm') AND ""Holding Details"".""Permanent Call Number"" LIKE 'UA%')","","",,"F16-C118","Filter","Filter Review","AND",0
"Physical - UCSC SCA Exclusions","NOT(""Location"".""Location Code"" IN ('spc', 'spann', 'spanv', 'sprice', 'spred', 'spwhi', 'spflm', 'spnr', 'spovr', 'spovm') AND ""Holding Details"".""Permanent Call Number"" LIKE 'MS%')","","",,"F16-C119","Filter","Filter Review","AND",0
"Physical - UCSD Physical Filters","""Location"".""Location Code"" NOT IN ('cc_borbot', 'cc_flr2', 'cc_stor', 'desk', 'srlf', 'SRLF')","","",,"F17-C120","Filter","Filter Review","AND",0
"Physical - UCSD Physical Filters","""Location"".""Location Name"" <> 'Problem location from Migration'","","",,"F17-C121","Filter","Filter Review","AND",0
"Physical - UCSD SCA Exclusions","NOT(""Location"".""Library Code"" IN ('SCA') AND ""Holding Details"".""Permanent Call Number"" LIKE 'SAC%')","","",,"F18-C122","Filter","Filter Review","AND",0
"Physical - UCSD SCA Exclusions","NOT(""Location"".""Library Code"" IN ('SCA') AND ""Holding Details"".""Permanent Call Number"" LIKE 'SMC%')","","",,"F18-C123","Filter","Filter Review","AND",0
"Physical - UCSD SCA Exclusions","NOT(""Location"".""Library Code"" IN ('SCA') AND ""Holding Details"".""Permanent Call Number"" LIKE 'MSS%')","","",,"F18-C124","Filter","Filter Review","AND",0
"Physical - UCSD SCA Exclusions","NOT(""Location"".""Library Code"" IN ('SCA') AND ""Holding Details"".""Permanent Call Number"" LIKE 'RSS%')","","",,"F18-C125","Filter","Filter Review","AND",0
"Physical - UCSF Physical Filters","""Location"".""Location Code"" <> 'frsno'","","",,"F19-C126","Filter","Filter Review","",0
"TEST REDO Physical - UCI Physical Filters","""Location"".""Location Code"" NOT IN ('gmlml', 'gmlill', 'xlle', 'xllck', 'xllhk', 'xmllk', 'nrlf', 'srlfm', 'srlf', 'srlfr', 'llill_rsl', 'lawill_rsl', 'slill')","","",,"F20-C127","Filter","Filter Review","AND",13
"TEST REDO Physical - UCI Physical Filters","""Location"".""Location Name"" NOT IN ('zz', 'Problem location from Migration')","","",,"F20-C128","Filter","Filter Review","AND",2
"TEST REDO Physical - UCI Physical Filters","""Library Unit"".""Library Code"" NOT IN ('AYALA', 'OCSEAA')","","",,"F20-C129","Filter","Filter Review","AND",2
"TEST REDO Physical - UCI Physical Filters","""Location"".""Library Name"" NOT IN ('X_Do_Not_Use_Old_Orange County & Southeast Asian Archive Center', 'X_Do_Not_Use_Old_Science Library')","","",,"F20-C130","Filter","Filter Review","AND",2
"TEST REDO Physical - UCI Physical Filters","""Physical Item Details"".""Statistics Note 2"" IS NULL","","",,"F20-C131","Filter","Filter Review","OR",0
"TEST REDO Physical - UCI Physical Filters","""Physical Item Details"".""Statistics Note 2"" IS NOT NULL","","",,"F20-C132","Filter","Filter Review","AND",0
"TEST REDO Physical - UCI Physical Filters","DESCRIPTOR_IDOF(""Physical Items"".""Institution"".""Institution Name"") = 4701 AND ""Physical Item Details"".""Statistics Note 2"" <> '-'","","",,"F20-C133","Filter","Filter Review","AND",0
"TEST REDO Physical - UCI Physical Filters","DESCRIPTOR_IDOF(""Physical Items"".""Institution"".""Institution Name"") = 4701 AND ""Physical Item Details"".""Statistics Note 2"" NOT LIKE 'from%'","","",,"F20-C134","Filter","Filter Review","AND",0
"TEST REDO Physical - UCI Physical Filters","DESCRIPTOR_IDOF(""Physical Items"".""Institution"".""Institution Name"") = 4701 AND ""Physical Item Details"".""Statistics Note 2"" NOT LIKE '%rlf-%'","","",,"F20-C135","Filter","Filter Review","AND",0
"TEST REDO Physical - UCI Physical Filters","DESCRIPTOR_IDOF(""Physical Items"".""Institution"".""Institution Name"") = 4701 AND ""Physical Item Details"".""Statistics Note 2"" NOT LIKE '%sp-%'","","",,"F20-C136","Filter","Filter Review","AND",0
"TEST REDO Physical - UCI Physical Filters","DESCRIPTOR_IDOF(""Physical Items"".""Institution"".""Institution Name"") = 4701 AND ""Physical Item Details"".""Statistics Note 2"" NOT LIKE '%wd%'","","",,"F20-C137","Filter","Filter Review","AND",0
"TEST REDO Physical - UCI Physical Filters","DESCRIPTOR_IDOF(""Physical Items"".""Institution"".""Institution Name"") = 4701 AND ""Physical Item Details"".""Statistics Note 2"" NOT LIKE '%ithd%'","","",,"F20-C138","Filter","Filter Review","AND",0
"zz_old_Physical - UCI SCA Exclusions","NOT(DESCRIPTOR_IDOF(""Physical Items"".""Institution"".""Institution Name"") = 4701 AND ""Location"".""Location Code"" IN ('gocrh', 'gseaa', 'spcol') AND (""Bibliographic Details"".""Uniform Resource Identifier"" LIKE '%findaid%'))","","",,"F21-C139","Filter","Filter Review","AND",0
"zz_old_Physical - UCI SCA Exclusions","NOT(DESCRIPTOR_IDOF(""Physical Items"".""Institution"".""Institution Name"") = 4701 AND ""Location"".""Location Code"" IN ('gocrh', 'gseaa', 'spcol') AND (""Bibliographic Details"".""Uniform Resource Identifier"" LIKE '%oac.cdlib%'))","","",,"F21-C140","Filter","Filter Review","AND",0
