"catalog_index","source_file_name","object_title","object_kind","xml_root_name","closest_folder","closest_level_object","original_path","object_signature","subject_area","owner_id","creator_id","item_type_code","created_year","created_month","created_day","created_hour","created_minute","created_second","web_catalog_build","web_catalog_description"
33,"Annual Stats FY 2025-2026.catalog","UCB eResources Comparison Report","report","report","eResources Comparison","eResources Comparison","/shared/University of California System 01UCS_NETWORK/Reports/Local Requests/Annual Statistic Reports/Annual Stats FY 2025-2026/Final stats reports (for July 1)/eResources Comparison/UCB eResources Comparison Report","queryitem1",,"HE_51947678370006531_6531_D_na07.alma.exlibrisgroup.com","HE_51947678370006531_6531_D_na07.alma.exlibrisgroup.com",4,2026,6,2,21,48,23,"22.4.0.0.4 (Build BIPS-20251201174826.81 )",
34,"Annual Stats FY 2025-2026.catalog","dashboard layout","dashboard","dashboard","SLF FY 2025-26 annual statistics NZ-level output","SLF FY 2025-26 annual statistics NZ-level output","/shared/University of California System 01UCS_NETWORK/Reports/Local Requests/Annual Statistic Reports/Annual Stats FY 2025-2026/Final stats reports (for July 1)/SLF FY 2025-26 annual statistics NZ-level output/dashboard layout","dashboarditem1",,"HE_51947678370006531_6531_D_na07.alma.exlibrisgroup.com","HE_51947678370006531_6531_D_na07.alma.exlibrisgroup.com",4,2026,6,23,23,19,5,"22.4.0.0.4 (Build BIPS-20260309180128.86 )",
35,"Annual Stats FY 2025-2026.catalog","SLF-N Added Physical Holdings and Titles Report","report","report","Physical","Physical","/shared/University of California System 01UCS_NETWORK/Reports/Local Requests/Annual Statistic Reports/Annual Stats FY 2025-2026/Final stats reports (for July 1)/Physical/SLF-N Added Physical Holdings and Titles Report","queryitem1",,"HE_51947678370006531_6531_D_na07.alma.exlibrisgroup.com","HE_51947678370006531_6531_D_na07.alma.exlibrisgroup.com",4,2026,6,22,22,37,1,"22.4.0.0.4 (Build BIPS-20260309180128.86 )","Holdings and titles added at SLF-N in this FY, by depositor (requires SLF-N-provided filter)"
36,"Annual Stats FY 2025-2026.catalog","dashboard layout","dashboard","dashboard","UCSD FY 2025-26 annual statistics NZ-level output","UCSD FY 2025-26 annual statistics NZ-level output","/shared/University of California System 01UCS_NETWORK/Reports/Local Requests/Annual Statistic Reports/Annual Stats FY 2025-2026/Final stats reports (for July 1)/UCSD FY 2025-26 annual statistics NZ-level output/dashboard layout","dashboarditem1",,"HE_62927642820006531_6531_D_na07.alma.exlibrisgroup.com","HE_62927642820006531_6531_D_na07.alma.exlibrisgroup.com",4,2026,6,17,22,25,35,"22.4.0.0.4 (Build BIPS-20251201174826.81 )",
37,"Annual Stats FY 2025-2026.catalog","UCD Physical Collection Usage","report","report","Physical Collection Usage","Physical Collection Usage","/shared/University of California System 01UCS_NETWORK/Reports/Local Requests/Annual Statistic Reports/Annual Stats FY 2025-2026/Final stats reports (for July 1)/Physical Collection Usage/UCD Physical Collection Usage","queryitem1",,"HE_51947678370006531_6531_D_na07.alma.exlibrisgroup.com","HE_51947678370006531_6531_D_na07.alma.exlibrisgroup.com",4,2026,6,3,23,50,53,"22.4.0.0.4 (Build BIPS-20251201174826.81 )",
38,"Annual Stats FY 2025-2026.catalog","eResources - Library Categories","dashboard_page","dashboardPage","UCM preparation review reports dashboard","UCM preparation review reports dashboard","/shared/University of California System 01UCS_NETWORK/Reports/Local Requests/Annual Statistic Reports/Annual Stats FY 2025-2026/Preparation review reports/UCM preparation review reports dashboard/eResources - Library Categories","dashboardpageitem1",,"HE_26742315260006531_6531_D_na07.alma.exlibrisgroup.com","HE_26742315260006531_6531_D_na07.alma.exlibrisgroup.com",4,2026,5,12,22,21,35,"22.4.0.0.4 (Build BIPS-20251201174826.81 )",""
39,"Annual Stats FY 2025-2026.catalog","UCR - Electronic (details)","dashboard_page","dashboardPage","UCR FY 2025-26 annual statistics NZ-level output","UCR FY 2025-26 annual statistics NZ-level output","/shared/University of California System 01UCS_NETWORK/Reports/Local Requests/Annual Statistic Reports/Annual Stats FY 2025-2026/Final stats reports (for July 1)/UCR FY 2025-26 annual statistics NZ-level output/UCR - Electronic (details)","dashboardpageitem1",,"HE_26742315260006531_6531_D_na07.alma.exlibrisgroup.com","HE_26742315260006531_6531_D_na07.alma.exlibrisgroup.com",4,2026,6,17,17,45,28,"22.4.0.0.4 (Build BIPS-20251201174826.81 )",""
40,"Annual Stats FY 2025-2026.catalog","dashboard layout","dashboard","dashboard","UCSF preparation review reports dashboard","UCSF preparation review reports dashboard","/shared/University of California System 01UCS_NETWORK/Reports/Local Requests/Annual Statistic Reports/Annual Stats FY 2025-2026/Preparation review reports/UCSF preparation review reports dashboard/dashboard layout","dashboarditem1",,"HE_62927642820006531_6531_D_na07.alma.exlibrisgroup.com","HE_62927642820006531_6531_D_na07.alma.exlibrisgroup.com",4,2026,5,14,17,29,51,"22.4.0.0.4 (Build BIPS-20251201174826.81 )",
41,"Annual Stats FY 2025-2026.catalog","dashboard layout","dashboard","dashboard","UCR preparation review reports dashboard","UCR preparation review reports dashboard","/shared/University of California System 01UCS_NETWORK/Reports/Local Requests/Annual Statistic Reports/Annual Stats FY 2025-2026/Preparation review reports/UCR preparation review reports dashboard/dashboard layout","dashboarditem1",,"HE_62927642820006531_6531_D_na07.alma.exlibrisgroup.com","HE_26742315260006531_6531_D_na07.alma.exlibrisgroup.com",4,2026,5,12,22,33,51,"22.4.0.0.4 (Build BIPS-20251201174826.81 )",
42,"Annual Stats FY 2025-2026.catalog","UCSB - Electronic (details)","dashboard_page","dashboardPage","UCSB FY 2025-26 annual statistics NZ-level output","UCSB FY 2025-26 annual statistics NZ-level output","/shared/University of California System 01UCS_NETWORK/Reports/Local Requests/Annual Statistic Reports/Annual Stats FY 2025-2026/Final stats reports (for July 1)/UCSB FY 2025-26 annual statistics NZ-level output/UCSB - Electronic (details)","dashboardpageitem1",,"HE_26742315260006531_6531_D_na07.alma.exlibrisgroup.com","HE_26742315260006531_6531_D_na07.alma.exlibrisgroup.com",4,2026,6,18,14,49,16,"22.4.0.0.4 (Build BIPS-20251201174826.81 )",""
